"","trans_mle_val","mle_val","mle_var","mle_sd","lwr_95","upr_95","type","t","conv","sim","OM_Scenario","EM_Scenario"
"1",NA,0.208962168847511,NA,NA,NA,NA,"F_0.4",0.21604672553727,"Converged",1,"Fast_GL_DatLow","10_2Fl_GL"
"2",-4.46380346395365,0.0115184697820832,0.0227514977758352,0.150835996286812,0.00857039019838297,0.0154806424269687,"ln_q_srv",0.01,"Converged",1,"Fast_GL_DatLow","10_2Fl_GL"
"3",2.88269025225553,17.862262591082,0.0152428618042847,0.123461985259774,14.0230830500872,22.7525162429089,"ln_RecPars",17.28778,"Converged",1,"Fast_GL_DatLow","10_2Fl_GL"
"4",0.741736361226384,2.09957797705496,0.00869004152367417,0.0932203922093989,1.74896536395062,2.52047740486795,"S1_a50_m",NA,"Converged",1,"Fast_GL_DatLow","10_2Fl_GL"
"5",1.61050043962929,5.00531545938594,0.000255439290172821,0.0159824682127893,4.85095116362383,5.16459185073556,"S1_a50_f",NA,"Converged",1,"Fast_GL_DatLow","10_2Fl_GL"
"6",-0.0799621250420741,0.923151310041535,0.0308411816378498,0.175616575635245,0.654312238023409,1.30244903229353,"S1_k_m",NA,"Converged",1,"Fast_GL_DatLow","10_2Fl_GL"
"7",-1.16381645172828,0.312292056114948,0.0159757095657201,0.126395053565083,0.243764969729315,0.40008344275553,"S1_k_f",NA,"Converged",1,"Fast_GL_DatLow","10_2Fl_GL"
"8",1.70866175480029,5.52156732016859,0.00317409123953747,0.0563390738256982,4.94430876217666,6.16622204187183,"F1_delta_m",NA,"Converged",1,"Fast_GL_DatLow","10_2Fl_GL"
"9",2.05145941554129,7.77924597833219,0.00296355037637018,0.0544385008644634,6.99195326208822,8.65518771693329,"F2_a50_m",NA,"Converged",1,"Fast_GL_DatLow","10_2Fl_GL"
"10",1.98738778352601,7.29644894219276,0.00331333595380728,0.0575615840105819,6.51799673089725,8.16787264001851,"F1_delta_f",NA,"Converged",1,"Fast_GL_DatLow","10_2Fl_GL"
"11",2.34074338305421,10.3889566672162,0.00245234041320168,0.0495211107831971,9.42798134054758,11.4478822915265,"F2_a50_f",NA,"Converged",1,"Fast_GL_DatLow","10_2Fl_GL"
"12",1.44079250265442,4.22404205541131,0.00186735289807347,0.0432128788450095,3.88100934441695,4.59739456993344,"F1_amax_m",NA,"Converged",1,"Fast_GL_DatLow","10_2Fl_GL"
"13",0.660652347199831,1.93605490253525,0.00762877619654447,0.0873428657449735,1.63143554607329,2.29755235789278,"F2_k_m",NA,"Converged",1,"Fast_GL_DatLow","10_2Fl_GL"
"14",1.82027311120253,6.1735442837662,0.00131391535365444,0.0362479703384126,5.75015660067983,6.62810627089987,"F1_amax_f",NA,"Converged",1,"Fast_GL_DatLow","10_2Fl_GL"
"15",0.930629211380027,2.53610442145535,0.0052119192800203,0.0721936235412816,2.20147966489443,2.92159211783308,"F2_k_f",NA,"Converged",1,"Fast_GL_DatLow","10_2Fl_GL"
"16",NA,453.433259257279,NA,55.9817703707136,343.708989330681,563.157529183878,"SSB0",438.850027579174,"Converged",1,"Fast_GL_DatLow","10_2Fl_GL"
"17",NA,0.237463779457125,NA,NA,NA,NA,"F_0.4",0.21604672553727,"Converged",2,"Fast_GL_DatLow","10_2Fl_GL"
"18",-4.48186461075443,0.011312300440229,0.0183759073064264,0.135557763726119,0.00867284995512121,0.0147550276912656,"ln_q_srv",0.01,"Converged",2,"Fast_GL_DatLow","10_2Fl_GL"
"19",2.55330507734666,12.8495022778093,0.0126072677272454,0.112282089966501,10.3112154451981,16.0126330077135,"ln_RecPars",17.28778,"Converged",2,"Fast_GL_DatLow","10_2Fl_GL"
"20",0.765045354607615,2.14909184366217,0.00545332476919621,0.0738466300463075,1.85949688596093,2.48378783926197,"S1_a50_m",NA,"Converged",2,"Fast_GL_DatLow","10_2Fl_GL"
"21",1.61889958149587,5.04753286080084,0.000322170334340603,0.017949103998267,4.87304665334046,5.22826678940155,"S1_a50_f",NA,"Converged",2,"Fast_GL_DatLow","10_2Fl_GL"
"22",-0.2599206148561,0.771112798274308,0.0213402310744541,0.146082959562209,0.57912136290216,1.02675360598447,"S1_k_m",NA,"Converged",2,"Fast_GL_DatLow","10_2Fl_GL"
"23",-1.02422284018708,0.359075415980433,0.0155156400078992,0.124561791926334,0.281291451738966,0.45836854822439,"S1_k_f",NA,"Converged",2,"Fast_GL_DatLow","10_2Fl_GL"
"24",1.72741668647806,5.62610113619389,0.00319069053498089,0.0564861977387476,5.03646143319682,6.28477243686365,"F1_delta_m",NA,"Converged",2,"Fast_GL_DatLow","10_2Fl_GL"
"25",2.14187501547861,8.51538915600655,0.0022774815769684,0.0477229669757487,7.75500157874479,9.35033368361616,"F2_a50_m",NA,"Converged",2,"Fast_GL_DatLow","10_2Fl_GL"
"26",1.98480655375863,7.27763941728344,0.00296376199211339,0.0544404444518356,6.54108649649245,8.0971311901163,"F1_delta_f",NA,"Converged",2,"Fast_GL_DatLow","10_2Fl_GL"
"27",2.3218733860991,10.1947551401715,0.00268571054174814,0.051823841441446,9.21008110920443,11.2847032654452,"F2_a50_f",NA,"Converged",2,"Fast_GL_DatLow","10_2Fl_GL"
"28",1.44626906023353,4.24723872591769,0.00185550835120635,0.0430756120235842,3.90337225649707,4.62139801421946,"F1_amax_m",NA,"Converged",2,"Fast_GL_DatLow","10_2Fl_GL"
"29",0.734677119522914,2.08480873978026,0.00626610471439006,0.0791587311317586,1.78519206075427,2.43471141117878,"F2_k_m",NA,"Converged",2,"Fast_GL_DatLow","10_2Fl_GL"
