"","trans_mle_val","mle_val","mle_var","mle_sd","lwr_95","upr_95","type","t","conv","sim","OM_Scenario","EM_Scenario"
"1",NA,0.135831817743113,NA,NA,NA,NA,"F_0.4",0.138964933758893,"Converged",1,"Slow_LL_DatLow","10_2Fl_LL"
"2",-4.64406273344106,0.00961854057262082,0.0166215075999335,0.12892442592439,0.00747078940844484,0.012383741220516,"ln_q_srv",0.01,"Converged",1,"Slow_LL_DatLow","10_2Fl_LL"
"3",2.88544994892706,17.9116250991468,0.00904254866533413,0.0950923165420536,14.8658852676507,21.5813796431302,"ln_RecPars",17.28778,"Converged",1,"Slow_LL_DatLow","10_2Fl_LL"
"4",0.795843670255485,2.21631004312414,0.00790002673961863,0.0888820945951356,1.86196943737192,2.63808315467626,"S1_a50_m",NA,"Converged",1,"Slow_LL_DatLow","10_2Fl_LL"
"5",1.59449448267646,4.92583834600271,0.000165953955234417,0.0128823117193467,4.80302127264868,5.05179594958781,"S1_a50_f",NA,"Converged",1,"Slow_LL_DatLow","10_2Fl_LL"
"6",-0.0321387557159516,0.968372205577967,0.0322668009192828,0.179629621497354,0.680986488400688,1.3770386703828,"S1_k_m",NA,"Converged",1,"Slow_LL_DatLow","10_2Fl_LL"
"7",-1.34698001053506,0.260024346872075,0.0142656297835778,0.119438811881138,0.205752748345146,0.328611216666862,"S1_k_f",NA,"Converged",1,"Slow_LL_DatLow","10_2Fl_LL"
"8",1.28871030636044,3.62810439396412,0.00156221135986392,0.0395248195424587,3.35765112663154,3.92034222647403,"F1_a50_m",NA,"Converged",1,"Slow_LL_DatLow","10_2Fl_LL"
"9",2.1159692329192,8.29762420045859,0.00262949816757221,0.0512786326609067,7.5042018693193,9.17493539899686,"F2_a50_m",NA,"Converged",1,"Slow_LL_DatLow","10_2Fl_LL"
"10",1.80491417543154,6.07944965998598,0.000636886419338806,0.0252366087131137,5.7860533228639,6.3877233938124,"F1_a50_f",NA,"Converged",1,"Slow_LL_DatLow","10_2Fl_LL"
"11",2.30464383476376,10.020608624336,0.00259810871481772,0.0509716461850873,9.06788824299055,11.0734268565491,"F2_a50_f",NA,"Converged",1,"Slow_LL_DatLow","10_2Fl_LL"
"12",-0.258803827709156,0.771974448186483,0.00975511580691632,0.0987679897887788,0.63610662031022,0.936862673056588,"F1_k_m",NA,"Converged",1,"Slow_LL_DatLow","10_2Fl_LL"
"13",0.681920061512394,1.97767133970866,0.00643348789963489,0.0802090262977608,1.68996931162576,2.3143520423708,"F2_k_m",NA,"Converged",1,"Slow_LL_DatLow","10_2Fl_LL"
"14",-0.0480640126103806,0.953072776448498,0.00534001576996444,0.0730754115278487,0.825891541968788,1.09983898738314,"F1_k_f",NA,"Converged",1,"Slow_LL_DatLow","10_2Fl_LL"
"15",0.892590012838358,2.44144484303335,0.00545006039010457,0.0738245243134324,2.11254619017982,2.82154915678637,"F2_k_f",NA,"Converged",1,"Slow_LL_DatLow","10_2Fl_LL"
"16",NA,454.686325760069,NA,43.2371760165198,369.94146076769,539.431190752447,"SSB0",438.850027579174,"Converged",1,"Slow_LL_DatLow","10_2Fl_LL"
"17",NA,0.142008157160768,NA,NA,NA,NA,"F_0.4",0.138964933758893,"Converged",2,"Slow_LL_DatLow","10_2Fl_LL"
"18",-4.62738725589892,0.00978027911575973,0.0137951684386988,0.117452834953861,0.00776914769479699,0.0123120145657966,"ln_q_srv",0.01,"Converged",2,"Slow_LL_DatLow","10_2Fl_LL"
"19",2.87778703300327,17.7748943690696,0.00873888177635361,0.0934819863735983,14.7990403834376,21.3491457314472,"ln_RecPars",17.28778,"Converged",2,"Slow_LL_DatLow","10_2Fl_LL"
"20",0.746087941582182,2.1087343672703,0.0068761327007016,0.0829224499197991,1.79240795076263,2.48088646885041,"S1_a50_m",NA,"Converged",2,"Slow_LL_DatLow","10_2Fl_LL"
"21",1.61680557948358,5.03697437543616,0.000263195985821198,0.0162233161166636,4.87932982696756,5.19971220608554,"S1_a50_f",NA,"Converged",2,"Slow_LL_DatLow","10_2Fl_LL"
"22",-0.0925890776667943,0.911568006996598,0.0244467999817669,0.156354724846315,0.670960951381972,1.23845691715477,"S1_k_m",NA,"Converged",2,"Slow_LL_DatLow","10_2Fl_LL"
"23",-1.07103900933521,0.342652313448721,0.015199283984024,0.123285376196952,0.269098351651307,0.436311137512648,"S1_k_f",NA,"Converged",2,"Slow_LL_DatLow","10_2Fl_LL"
"24",1.39527239367015,4.03607382387274,0.00127120576043699,0.0356539725758153,3.76365517956433,4.32821051200456,"F1_a50_m",NA,"Converged",2,"Slow_LL_DatLow","10_2Fl_LL"
"25",2.07787807051195,7.98750200333154,0.00185866537842728,0.0431122416307397,7.34028798533272,8.69178271761411,"F2_a50_m",NA,"Converged",2,"Slow_LL_DatLow","10_2Fl_LL"
"26",1.80107769660374,6.05617066332249,0.000824517987058165,0.0287144212384329,5.72474170262127,6.40678741653864,"F1_a50_f",NA,"Converged",2,"Slow_LL_DatLow","10_2Fl_LL"
"27",2.38661107688061,10.8765715500179,0.00253437255854562,0.0503425521655947,9.85461304147626,12.0045107996384,"F2_a50_f",NA,"Converged",2,"Slow_LL_DatLow","10_2Fl_LL"
"28",-0.231249944698018,0.79354109985542,0.00828519508993607,0.0910230470262124,0.663879171385483,0.948527238541888,"F1_k_m",NA,"Converged",2,"Slow_LL_DatLow","10_2Fl_LL"
"29",0.555063077815287,1.74205086607125,0.00527528797182897,0.0726311776844419,1.51090070980606,2.00856429564398,"F2_k_m",NA,"Converged",2,"Slow_LL_DatLow","10_2Fl_LL"
